OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
2422,807,0,1569.413465856484700
2423,807,1,2275.266204837846500
2424,807,2,4923.707804420280800
2425,808,0,1299.071523609719200
2426,808,1,2530.584672143317700
2427,808,2,5182.914820773508800
2428,809,0,2922.034907290417800
2429,809,1,986.740779898094050
2430,809,2,3575.459612539206800
2431,810,0,1544.016115737828600
2432,810,1,2236.564455249126200
2433,810,2,4898.298634592366400
2434,811,0,2401.966502174509100
2435,811,1,1373.670688139663100
2436,811,2,4035.616954933634100
2437,812,0,2831.612631672564000
2438,812,1,1114.908967979836500
2439,812,2,3689.618316739245500
2440,813,0,2094.662565269304200
2441,813,1,1808.427126935213400
2442,813,2,4431.188617380245000
2443,814,0,1276.410478616314500
2444,814,1,2518.751874927327700
2445,814,2,5177.400822290735100
2446,815,0,1748.903904428497300
2447,815,1,2386.881233586288100
2448,815,2,4967.126040844598700
2449,816,0,2111.640131231331000
2450,816,1,1699.985452734277300
2451,816,2,4350.718761075760100
2452,817,0,1617.431769967282000
2453,817,1,2312.183839002832900
2454,817,2,4939.153491876430100
2455,818,0,2895.381718587245400
2456,818,1,910.089549533591820
2457,818,2,3553.128869828383400
2458,819,0,2652.121229976690300
2459,819,1,1212.963462263968500
2460,819,2,3830.046468621499600
2461,820,0,2895.582069369836100
2462,820,1,907.018246667008380
2463,820,2,3553.537203671694400
2464,821,0,1460.088286379049600
2465,821,1,2376.412438623582100
2466,821,2,5027.794472326281700
2467,822,0,2900.212695887779800
2468,822,1,921.314758081215810
2469,822,2,3557.391832869237500
2470,823,0,3087.718805120332500
2471,823,1,689.614594143367530
2472,823,2,3349.575169739374400
2473,824,0,2542.064614845371600
2474,824,1,1233.900960566611300
2475,824,2,3895.548593181964900
2476,825,0,2524.659796249653000
2477,825,1,1267.112290183663600
2478,825,2,3922.039201775191000
2479,826,0,2547.481783191778000
2480,826,1,1313.639981544806000
2481,826,2,3935.410267442517600
2482,827,0,3327.359311652850900
2483,827,1,453.598992169139190
2484,827,2,3110.290415296724900
2485,828,0,1132.323247214767700
2486,828,1,2880.423029737095500
2487,828,2,5514.304503540861300
2488,829,0,1305.278696116720100
2489,829,1,2533.836819157071700
2490,829,2,5184.448736637095900
2491,830,0,1599.568056043032100
2492,830,1,2295.983175657953800
2493,830,2,4933.612599174419300
2494,831,0,1163.652591080868700
2495,831,1,2825.248008797295800
2496,831,2,5460.667218061419600
2497,832,0,2528.892823765883300
2498,832,1,1275.330099900830900
2499,832,2,3924.858249454338900
2500,833,0,1229.534818704804400
2501,833,1,2647.549674912050700
2502,833,2,5295.570268490831000
2503,834,0,3184.614379537205400
2504,834,1,766.684027206710200
2505,834,2,3315.666757604767100
2506,835,0,2037.688757010915900
2507,835,1,1835.472245363915800
2508,835,2,4465.452321476655900
2509,836,0,1772.490431406228700
2510,836,1,2361.962000475550700
2511,836,2,4940.828035922275400
2512,837,0,2526.798876480115700
2513,837,1,1272.466865094393600
2514,837,2,3922.420933584591700
2515,838,0,1169.575086691604800
2516,838,1,2622.737560535669200
2517,838,2,5282.302032460603200
2518,839,0,3062.596871952081500
2519,839,1,789.737373834923690
2520,839,2,3404.229201847317700
2521,840,0,1693.966749739700800
2522,840,1,2303.212142024103300
2523,840,2,4913.464483465903900
2524,841,0,3275.752684136787600
2525,841,1,504.417582652682820
2526,841,2,3161.899607399488100
2527,842,0,1839.066848554543200
2528,842,1,2025.816593708506600
2529,842,2,4665.303684632574000
2530,843,0,2054.790805224717600
2531,843,1,1722.050291306253300
2532,843,2,4383.275758459609300
2533,844,0,1295.005580213869100
2534,844,1,2527.154346859208500
2535,844,2,5182.617450503637000
2536,845,0,3344.755747330643800
2537,845,1,654.233405529461270
2538,845,2,3159.603199234176800
2539,846,0,2381.646922778411400
2540,846,1,1394.375385949945200
2541,846,2,4055.513648511848700
2542,847,0,2364.841091177189400
2543,847,1,1421.645610855471000
2544,847,2,4079.513842841327000
2545,848,0,3488.489840154120900
2546,848,1,657.121298262123450
2547,848,2,3049.461412431486200
2548,849,0,2261.076907019864400
2549,849,1,1530.381919245469800
2550,849,2,4185.446788744619000
2551,850,0,1369.843038718637700
2552,850,1,2565.767931481852900
2553,850,2,5202.092804365095600
2554,851,0,1734.729044575781900
2555,851,1,2128.043934269867300
2556,851,2,4767.240826035987100
2557,852,0,2791.811967242541000
2558,852,1,1014.990340593213400
2559,852,2,3658.526795113687500
2560,853,0,3451.551595488599100
2561,853,1,603.896038965909950
2562,853,2,3059.938025007226300
2563,854,0,1804.843468864387700
2564,854,1,1995.410349427123300
2565,854,2,4651.728311647685600
2566,855,0,2438.445011382725200
2567,855,1,1514.612798867103900
2568,855,2,4107.486193525647600
2569,856,0,1444.448184686346600
2570,856,1,2366.887832038315100
2571,856,2,5023.083652596758800
2572,857,0,2368.838543855094000
2573,857,1,1428.113295948878000
2574,857,2,4081.920840543580200
2575,858,0,1851.478172982265700
2576,858,1,2039.704208398735800
2577,858,2,4669.130159242043200
2578,859,0,3085.754803405922800
2579,859,1,874.005694918821180
2580,859,2,3425.339034939433500
2581,860,0,1814.822930236709000
2582,860,1,2006.296341668929200
2583,860,2,4655.153649756291100
2584,861,0,2243.519268292643100
2585,861,1,1532.415678074995200
2586,861,2,4193.759333964959300
2587,862,0,1533.436021572818800
2588,862,1,2252.928601246754600
2589,862,2,4912.481851389407900
2590,863,0,1694.013435336239400
2591,863,1,2095.034255678023300
2592,863,2,4754.581170465204200
2593,864,0,2398.556886596499200
2594,864,1,1480.572542263431400
